prompt,completion
kore,"
   I didn’t

 realize there was no grass.

 There was dirt to

 be swept up

 to chant 

 dirt. I have

 seen her in

 the glance (glass)

 of a sun,

 in the light

 up on the dock.

 Under the dirt,

 she calls the salt

 rock she forgot:

 it’s time

 for the ground

 to be beaten by my foot

 and the more

 it happens the more

 I want it to. I didn’t

 realize how dry

 it could be next 

 to the sea

 (we say ocean).

 How she has

 returned, rejecting water

 for the gravel our feet

 make, how it is time

 for us to smile,

 to break the rock in two,

 to pull up the roots,

 and kick

 the hill as

 acorns have stormed

 the ground (I

 mean oak).

I know nothing

of this, I grasp

the dirt I

thought was rock.

I didn’t realize how

much I would

want the water

in the olive grove,

how much

the tree-tops

make a field

that is raised, how

salt pervades,

how I may

have forgot

how much

was one.

 

"
on seeing my first western,"
**1 / Meeting Burt**  
  
Burt Lancaster and I don’t   
have much to die for: love   
of the game and the gold  
and the girl not as much    
  
makes simple to say she’s not   
beautiful, perpetually   
never quite undressed,   
dusty and sweaty under  
that scarf, her dress, her   
face, wide plain, blessed   
expanse glistening daily   
above breasts long fought  
  
for, Burt and I, too old  
now to care about love.  
  
  
**2 / Losing Burt**  
  
The tropes gather faster when Burt appears,   
he’s lost craps and a woman, broke and rebuffed,    
smirking and grumbling that humans make love   
face to face, a remark worthy of some score-  
settling cowboy in spurs, not you, Burt, your  
single regard for time and rock blown rough  
in one moment’s furnace of sticks, sweaty, buffed,  
refusing objection your fusework near blears   
human loss so unsavory  
                                               I’m lost, Burt,  
can’t tell your face features through the sure  
group’s tactics and horses, making calm  
ill-advised, more fitting to flail and blurt  
guilt in tumid air that soaks these shores  
without oceans,  
                               Your hand is creased without a palm.  
  
  
**3 / Replacing Burt (On Seeing a Different Western)**  
  
Burt and I have had a falling out   
I say loud, hoping after a reaction,  
eyeing with verve and meaning my now   
and new loved outlaw, lanky Gary. Faction  
  
different this time, clean-shaven and freshly   
married, on the run not from the long   
law but the lawless. Blonde-sweet Miss Kelly  
headstrong and stupid—seems he’s on the wrong   
   
side of her Quaker complaints. He stays to greet  
a death mimed by cruel schoolboys. A crime  
for their sake. Boys scatter. Streets empty. Smutty heat,   
smutty Gary beneath the Marshall sign,  
  
moral and certain, leather and tallow.

"
waiting at stonewall,"

It’s a Friday in New York  
and fifty years from ’69.  
Though since we’ve yet to meet  
or have, and are still looking,  
what we’ve said to each other  
in photos and films, bars  
and basements, returns  
with enough echo  
to remind us of ourselves.  
Those of us who resisted heroes  
and sentiment. Those of us  
who waited and found neither—  
not the promised liberation  
in marriage, or the salvation  
of laws. How some asked  
to carry America’s guns  
and did. How others knew  
equality was a rumor,  
elusive as freedom or sex.  
Do you think about dying  
every time you have sex?  
I still think about dying.  
I do think about death.  
Or a day in childhood when I saw  
the only place I could live  
was here. Inside.  
So whoever wanted me  
had to come through the body.  
Which has rarely been beautiful  
to me. Too soft and unconvincing.  
Too small. I hope the future  
is free of god and memory.  
I hope the future is  
all body, all blood.  
And since to be queer  
is a way to forgive life,  
I’ll take as long as I want  
finishing my cigarette on Seventh,  
walking up Christopher  
and thinking of everyone  
who’s yet to get here—  
somewhere in a bedroom maybe,  
young and bored across  
the country, not impressed  
by our parades or idols,  
all the sponsorship we bought.  
I’m late for a drink but wander,  
handsome and aimless,  
looking for a sign  
before nodding to the dead  
who always need a light.  

"
whose woods these are we think,"
When they ask “What are you working on now that the elements

 are finished” i say the elements are never finished; in China they

 have metal, in India they have ether, in the West we are short on

 time. Wood has also been named as an element. In Euro fairy

 tales, children are sent into the woods, probably the Black Forest,

 carrying baskets covered with cloth made by child laborers just as

 factories are beginning. When i first read the Frost snowy woods 

 piece as a desert child in the 60s, i experienced a calm as he enters 

 the whose woods these are he thinks he knows, though i didn’t 

 know that many woods in Tucson or a little horse thinking it queer 

 or a village. What would it have been like to be sent out with a 

 small covered basket if you were a peasant child into what we now 

 call the ecotone, the region between two environments— a marsh 

 with striped frogs for example— then on into the woods where a 

 peasant uprising is being planned. 

                      We have sent them all into the woods 

                      We have sent them all into the woods 

                      We have sent them all into the woods 

 & we know exactly whose thin logged-out woods these are. What

 do people need from poetry during the changes? The changes are 

 immeasurable. Perception, form, & material locked into the 

 invisible. Many need calm poetry, especially at weddings where 

 they feel uneasy, & i would certainly write that way if i believed 

 calm were key to any of it, but if what woods are left are lovely, 

 dark, deep, they are also oblique, obscure, magical, owned for 

 profit, full of fragile unnamed species, scarce on time, time that 

 barely exists though people base their lives on imagining it does. i 

 hoped to find some wisdom to send back to you & that is what i 

 am working on now, my present hopeful wild & unknown 

 friends…

  

  

  

  

 *(This poem is an* ekphrastic haibun*.)*

"
from metaphor and simile24 poems at years end,"
 

  *Day 1*

  

               A metaphor appeared,

      a form of action, while we were reading

 just below the trees. It made

               a human & nonhuman meaning....

        (*not sure what nonhuman meaning means*)

 So, here we are now.         Unknowing beauty among

      the brutal days.   All year they sat out

 reading, each to the other, in their skins.  Days

                                           of             drought in the west,

                             written    of.            Writers

     are stressed most            of             the time, trying

 with many forms                 of             life to make energy among.

               Dry months           of             people reading, greenshield

                lichen reading                       to the fence. Indicator

  species. Indicators              of             health, in the twilight

                                           of             a terrible year, *crepuscular*—

 a Stevens word.   Acts        of             gather & burn  (what now

         is called                       *the          undercommons*). Rosa Parks &

 Róża Luxemburg,                the           violence they endured

               amid                      the           infinite failures, unbearable

               if you read             the           histories.  To keep a little

  hope but how:                    the           young. Not to drown while

 trying to register                  the           forms of suffering beyond

               or in                      the           *the*, as Stevens wrote,

     the mixture of                  the           dump. To love, despite

               collapse,               the           life forms

               reading to             the           wood... frayed ends of

           days. Days in            the           mind. Wood mind. Science

        also  reading to            the           dream—

             ,    , , ,     , ,    , , , , ,

     ~~~~~~~~~~~~~~~~~~~~~~~

 ========================= (*log*)

 Some people think lichen looks dead but it is alive in its

 dismantling. Some call it moss. It doesn't matter what you call

 it.  Anything so radical & ordinary stands for something.

  

  

 *Day 2*

  

               A simile sets up space for you to doubt

            ever getting past the suffering...Rilke

      *Wer, wenn ich schriee, hörte mich denn* staying mostly

                        in his room          & where if they cried out,

                 *Who, if i cried out could hear* the children killed...

      A figure of destruction came to us & said,

 such admirable life forms on the street as if love

                 grew black threads... To be with friends

    you finally see, inside the grief year,

 class grief, race grief, loss of love & rain. Ruffle lichen

    spreading near the lake like similes.

                 (~i~ had not checked my phone...)

   We need to talk. Wood mind. It’s not just about your

 own little darling, the wife of the decomposers said...

                 Remember summer the poets

 read aloud inside their skin *where the undead meet the dead*

                   Voices sliced across the dusk,  black cilia,

                                             to            read to each other

 in beauty in the dusk.           to            see black-edged

 life forms on fences              to            lean against

                                                            ovals of energy

 while people said listen in the modest dusk,

                                             to            register the horror

                                 then     to            pass energy across.

 Cortex K+ yellow, medulla K-, KC+ red to orange,

    looks like punctuation while growing along, knowing

                 almost nothing, there are twin

                 sides to everything  & the beautiful

 wrong side is always listening...

  

  ![A photo of a specimen of lichen sitting on a light grey surface. ](../../../../media/sites/default/files/Page1Image1.jpg)  
  
  


 *These two 'journal poems' are from Brenda Hillman's series ""Metaphor and Simile—24 poems *

 *at year's end.""** You can read more from this series in *Lana Turner *[here](http://www.lanaturnerjournal.com/home-8/from-metaphor-simile-journal-poems-at-year-s-end). That *Lana Turner *page*

 *also includes several intriguing epigraphs and dedications for the series as a whole. *

"
being graze,"
 

 evaporative forces and their

 inverses brawl with

 good nature—sitting idly

 watching my own

 humidity, sloughed and bunched

 back furtively like clumps of wool.

  

 blessing self for loving

 shears—when my ears were

 clipped, the dryness of the air

 ate closer towards my eyes.

  

 my muteness divulged by the rain,

 roaring down through

 capillaries hung limp from

 the woolen clouds. not all

 visual constructions are waterproof.

 the channels quicken narrow, still.

"
afro goddess looking forward,"

*after Mickalene Thomas*  

When I look back over my life  
on how everything played out  
it was I who licked the salt from your pillar  
neck. Some days I chose to self-sabotage,  
some hours I resembled Orpheus, afraid  
we would never walk right up to the sun,  
hand-in-hand, my fingers stuck beneath your skirt.  
I looked to the hills from whence cometh my help.  
I lived in the history of the future where  
some of us would not die. When asked to keep on  
the straight and narrow, when presented  
with the lineup of Tom, Dick, and Harry,  
I ducked to enter a pink hole.  
When I forgot to mind my head,  
God looked over his shoulder.  
"
if my skull were a circle of light,"
If my skull were a circle of light

 I would use it unfairly.

  

 After you were mesmerized

 I would place my tattoo,

  

 and setting you down, I’d

 read you what I am reading

  

 until you spoke it with me.

 Next, I’d take a long walk

  

 as the tides bring in the next

 waves of damaged fish woven in glowing polyps.

  

 To erase the record

 of any potential transaction

  

 I would make myself into a cherub

 and install myself back

  

 into the painting from which

 I think I arrived most recently.

  

 My book, which is the only one

 with much in it worth reading

  

 for your sake, doesn’t germinate

 in your abdomen. Don’t get excited.

  

 I’m the last cycle

 of a perpetual murmur,

  

 and my reasons are byzantine.

 These dealings in high wind,

  

 they break on the high rocks,

 and I couldn’t replace them if I tried.

"
three years of natural disasters,"

      *“They ate their own children.”*  
      *—Yang Jisheng, on The Great Famine*  

<br>
In an hour it will be summer  
A time to admire wild things  
But all our sparrows are shot  
Left in heaps of rotting trash  

So in the dark where no one is  
Awake I dig their bones back  
Let you slurp on chicken stew  
Pretend I still remember truth  

As I skin these bodies one after  
Another    In the morning I say  
They are visiting your mother  
Gifting us silence    And dinner  

Is now gray water rice a long  
Minute of constant lies saying  
Words that will be thrown out  
Set on fire hoping a few stray  

Feathers fall on my skin keep  
Me warm and safe as the soil  
Burns then maybe I will grab  
Hold you tight succumb to the  

Terrible    But I taught you how  
To run away when the smoke  
Grows closer    To always look  
Up    Write down what I forgot.  
"
xixtaberri,"
To protect a vegetable garden

 from rabbits

 you must lay the chicken wire

 twenty-five centimeters

 into the soil.

 They can’t dig that deep.

 Eighteen meters of wire fencing,

 four sides of four and a half,

 iron stakes cornering the square,

 entrusted with strawberries, tomatoes,

 artichoke hearts.

 The farm was near Biarritz.

 Our hunter green tablecloth unfurled

 labyrinthine corridors of blueberry bushes

 winding down into the River Nive

 sailing blueberry flotsam

 through piment d’Espelette villages

 into the Atlantic.

 The Carcelles had owned Xixtaberri

 for seven years.

 This summer

 I was their only guest.

 I worked for room and board.

 In July, at dinner,

 they told me how

 in March, at night,

 they had lost their child. How

 in the morning, his crib was just

 empty, its narrow wooden slats

 painting strips of sunlight

 on the hardwood floor.

 A rabbit

 can slip through an opening

 of five centimeters,

 said Noël, his legs dangling

 in the corn husks below the porch,

 drinking one glass of sambuca Ramazzotti

 on ice, like every other night.

 He stared into its milky white

 snow globe murk before each sip.

 He told me he once trapped rabbits

 and snapped their necks

 but that he didn’t use live traps

 anymore. I found one in the bushes,

 an ancient and empty cage,

 and he slipped his fingers

 into his trap’s square lattice,

 two centimeters by two centimeters,

 white knuckles clinging

 to rusted memory.

 If there was one,

 there must have been others,

 entangled and forgotten in blueberry folds –

 and he cried to imagine it – clawing paws,

 pawing hands, unable to know

 what is happening

"
primitive methodism,"
  Driving interstate 81 by Frackville

 you might notice the long lines in the rock

 on the flat walls to your right, those lines,

 you might ask me, what are those lines?

 I’d have to explain how they drill these

 veins into the rock, how they fill these

 rocks with dynamite, how they will these

 mountains into molehills and brush them

 off their coats God bless the borough of

 Frackville God bless Schuylkill county.

  

 My great grandfather made those lines

 sitting at his desk with pencils with no

 erasers eating sauerkraut and potatoes

 in a place that prided itself on not being

 undermined God bless the borough of

 Frackville God bless Schuylkill county.

  

 I have come here to take credit for this-

 look his math stands correct forever in rock-

 proceed without caution ungrateful out of staters.

 I have come here to take credit for every bid

 in pinochle, son who learned to park six inches

 from the curb, line of dynamite that went right.

 I have come here to take credit if you would

 look around you and see the world he has 

 built and thank me for he is not here now.  

 I have come here to take what is due to one

 who like anthracite has been sunk buried

 pressed to make fuel like grapes to wine.

 I have come here to be Dionysus with vine in

 one hand coal in the other and you maenad

 follow me into this mine like a mangy mule.

 I have come here to show you the bottom of

 the mine which mules do not leave until shot

 which my family left three generations ago.

 I have come riding on a mule today with my

 great grandfather walking it as an American

 nativity pageant heading for Philadelphia.

 I have his life insurance evaluation his calipers

 from Frackville Service Equipment Corporation

 his Pottsville Explosive comb case to show you.

 I will show you no more, for you need to look for

 his autograph. God bless the borough of

 Frackville God bless Schuylkill county.

"
the bridge the gate,"

The patrolman approaches slow, scared      I will jump.  

                                    He is so young.  

                                    His hands tremble      like the word please.  

               But I have no intention today of leaving my body.  

I’ve paused &nsbp;    only to watch the surfers collide with the Pacific.  

               Such strange symmetry:       what the wave gives,        what it takes.  

                      Where one bails beneath the break,        another glides to shore.  

                             See, I want to say.  
                             We live.  

                             &—  

Every poem contains the dead.  

Creatures worrying the bones.  
                                           Buffalo, elephants,        men.  
<br>
I have a habit of avoiding funerals.        Instead, I pretend,      I rewind,       I keep—  

        look, how I still play scrabble with Nanu,     her nose too close to the board.  

               She never loses her sight,       her words,  

               never collapses into coma,         then further.  

        Listen, how Brian still calls just ‘cuz—       giddy spring kiss, another man’s lips.  

                      I never pried about the girls.  

                      His mother never finds him  
                                           hanging—  

                             —&  

How often we try to kill things in ourselves.  

                                           Regret, the unsaid,         our mothers.  

        But the body is an archive  

                             even as it burns.  

My mother’s spine is leaking  

                      & I am somewhere else,  

                      watching the sea exhale,      watching fog swallow pier, coastline, city.  

                      Everything—awash.  
<br>
        Who would we be if we held all of it—grief, history, each other—  

                                                  soft      as the fawn’s unflinching gaze?  

                             &—  

I admire the forest floor:       log decaying, root reaching for root,        No partition.  

        What rots         feeds.       What was         is  
                                                                even as  


"
march,"
How many steps does it take

 to reach the low green narrow-

  

 leaves which in a dream

 were slowly being devoured

  

 by cows and just a few sheep.

 The animals are not hungry

  

 grazing beside the wicker-

 chair porch, you reading and eating 

  

 a nectarine almost ripe.

 If we could use any of it

  

 our skulls would perforate,

  

 would feel filamental

 light braid itself through.

  

 The pasture is a lawn.

  

 Closely mowed it is

 a household linen,

 cushioned by sod,

  

 made toxic by rain, peppered

 by the wings of many insects.

"
girls that never die,"


in the kingdom of purity i obeyed my husband  
i walked behind him my breasts covered  

by a camera      in his arms was a mirror held aloft  
i faced myself & myself blurred in slightest motion  

light fleeing the shutter       & in the castle of purity  
i closed the lights & faced my husband & my husband  

called me by my glottal name      my mouth  
a depression in clay      my mouth a mirror in the arms  

of my husband       my minaret a nipple in the direction  
of my husband & five times a day i hesitate      & five  

times a day i chip a tooth & study sepia photographs  
to learn names for my mothers     to learn arrangements  

for my photographed parts     my captured parts  
i tighten the frame      i close my legs  

when i say girlhood i say prison  
i clean myself up & repent  

"
vega,"

early this evening you dropped by  
           to lean against pillows & talk  
                                         about needing. is autumn really 
a season of grieving? i want you  
                     to tell me what you think. although,  
                                         now, the lotus leaves will soon be  
over with, still new grown ones are  
                     just the size of cents. the heat is  
                                         tall, robust & not yet ready 
for the end of her. deep in the forest  
                     at the foot of trees, a rabbit dies &  
in death feeds blue flies, their blue  
                                         the joy of living earth — when 
they dry up, the autumn swells, flows in,  
                     the courtyard stone becomes as cool  
                                         as water resting underground, 
as cool as late sky to the touch.  
                     as patterns cut from dark by eyelet  
                                         curtains through which i scan streets  
for a face that’s not yours. tonight  
                     all things come flying in fast &  
                                         at once. the weight of fallen stars  
indents my roof, birds flock so thickly  
                     they move clouds & now the galaxy  
                                         is endless over me. & you, 
cross-legged in your corner of the night,  
                     blowing (with a handheld fan)  
                                         the fireflies around.  
"
engine on,"
I had a blow-up raft I used to ride. Down to the summer sea. Dolphins swam beside. Twice saved someone from drowning.

  

 Not me, but my bottle-nosed friends, by whom I was gently buffeted.  Dozed. The undertow could have its way with me. It never did. 

  

  

  

 Someone pushed the throttle down on the great white yacht. The ocean seemed to flush like a toilet around me.

  

 One great scoop of sand went down my pants each time. Scratched my butt like the surface of a home movie. Deep.

  

  

  

 The raft has gone the way of the waterbed. The one hit wonder The Floaters sang “Float On.” Then floated on.

  

 But me, I hit the waves on vinyl. “From Here to Eternity.” I should be harder now. The kind of plastic that doesn’t fade in the sun.

"
shadow of a cactus and an orchid on the wall next to jacqueline,"
  from above he focuses the lens on the spots under

 the rim of her brow. Kisses to the skin. Those you cannot take. She tells him

 that which makes up this world is the beautification of our mistakes. The

 error, the error preceded by the other, an error, and Jacqueline

  

 is so beautiful, even the painter, even the young man turned old, will marry her,

 and draw her, and remember her shape, every day, as though he were missing from it…

 So that when the sun sets the orchids mellow.

 Who is left to make a picture of these creatures.

  

 When the clouds quiet down over the rooms in the house.

 These floors, to walk them, is beautiful,

 though they were made for Jacqueline.  He leaves the lights on,

 the plants dried, sometimes even the paint

 hardens overnight. The cheekbones of

  

 a woman will lift the more her mother misses her…

 In one year he paints her one hundred

 and sixty times. To count the days that belong

 still to the sky.

 How beautiful she was.

 She tells him.

 When even the film dries out

 he paints her neck as long as he can make it. He leaves her

  

 all his sculptures. Were she here, he would not find her. Were she 

 a desert bird and not a Parisian queen she would have imprinted on

 this wall long ago, and wakened the shadows that run amok it, and tried,

 blooming flower from blooming flower, to summon

 the small air that makes the ground lift one step closer to its firmament. 

"
the piano lesson,"
            after Henri Matisse

  

 I. 

 Hope of the boy’s 

 hidden hands that they meet

  

 at the final triangle’s 

 point, the key

  

 II. 

 The twice-painted women 

 are strung silent.

  

 The boy sits in air’s 

 clear fire between

  

 wrought music stand, 

 wrought railing. The scene

  

 orients around 

 the unseen bodiless

  

 dancer the women 

 are bodies of.

  

 III. 

 The wrought railing 

 strains for the world 

 of green the world 

 of time – in this house

  

 sheer cliffs, the window’s 

 slice of green a slice 

 of time, a sharp absent 

 point on the burnt piano-top 

 where the metronome mocks 

 the candle, taps

 its own candlelife out 

 in unlovely coughs

 as the candle lost 

 in its shining locks 

 is too much song, 

 is not hope

  

 IV. 

 The two mothers guard 

 the depthless walls 

 of the past he purges 

 now in song:

  

 with the rest 

 of the brightened dead 

 they inhabit hope –

  

 V. 

 And now his fierce eye 

 confounds its shape 

 in a shadow honing

  

 into evening, 

 narrowing, lengthening 

 into nothing

  

 VI. 

 Must I misshape time? 

 To another canyon, 

 another imagined point?

  

 O say the boy’s hands, 

 strong with gathered gaze, 

 meet that backwards eye

  

"
experience in groups,"
What is language is a new needed

 For the going on part of the end 

 You can tell has made it here because

  

 The air is with condition

 The outside seems to be like anything

 Placed in a lab or subway car

  

 The truths are showing through

 The people have chosen to be

 Each moves along fresh tracks

  

 On the erasable surface

 Toward a tiny destiny

 Wearing vraiment raiment

  

 It’s maybe three days after

 Or exactly during seeing

 The future put on its certainties

  

 I want of the opposite to speak

 To say what isn’t etymology, won’t

 Be money to the king above my eye

  

 Reach out to the invisible third

 Among every two pedestrians

 Where belonging bucks its norms

  

 Difference lives in the least places

 Shine caught in the multiple

 Lie of any kind of hair

  

 You can’t tell if it’s order or not

 To follow the too many paths

 Just above the face, below sky

  

 Long enough to forget or be

 Distracted from the big geographies

 Where truth first learned of us

  

 In the pit of an education

 In the skysick life of power

 In its moving rearrangements

  

 I was walking on Mission Street

 In love with you while damage bloomed

 The right order right in the words

  

 Below the preserved fade of marquees

 The little sale of needless things

 Listing bodies listed just past

  

 It was far too easy to get here

 Standing still while white time flowed

 Around its professional mourners

  

 Comfortable in end after end

 The next one isn’t very pretty

 At least we’ll see how together

  

 It provides absent alternatives

 My plan to put my body between

 Where it already was and is going

"
seem tame,"
Falls blue. Time, it is that small  
silver weight in my hand, cool  
as a pebble damp grass smoothes— 

now quiet the rustling, crossing  
of legs, coy bangles clattering  
like little bells of tin, long minute

spent smoothing my wrinkled brocade  
as the strum starts under the song—  
I’ve gone up this path five times

and gone down four, hear me out—  
when you rise in the last morning,  
in the shrinking hour thick

with smoke of yeast and sugar,  
think of me. Not my face—  
overcast with leafed lanterns swaying, 

forest above town greener  
as just before rain and just after,  
until out of each paper sphere a bird

breaks, flocks, and all life looks up,  
taut like drum-skin  
a handful of earth clatters onto, 

specks into eyes turning down  
sloping back into the city—  
that crust I can hook out

in the mornings, first thing,  
small seeds hard as seconds  
between my fingers . . . 

And what has been within me  
is true, just as I wanted.  
Wanted a field of dissent settling

as roan ridden into slow grass,  
mottle-coat of lustring  
and the throat-cut string still vibrating—

wanted unsteady. Wanted fall,  
but it was winter before we reached  
the middle. Wanted the pearly hum of

beginning set into a silver bezel,  
wanted to be thought mastered, thought  
wanted, pendular, yours. For a moment.

"
getting the picture,"
Wicked wienie wonce was woman whuut. That’s what you wrote in my yearbook. We were in bra and panties it was fright night alright.

  

 Now don’t get your panties in a bunch, you’d say. I pictured carrots. Bugs Bunny munching scanties that were worn by Elmer Fudd.

  

 But everything was a slasher flick with you. Or mutants. You wouldn’t see aliens. Devil flicks bored you. You screwed the devil you said

  

 and he wasn’t any good. That’s a devil for you. Speak of the devil, saw the ex on a cross-town bus. I’d like to say he let himself go.

  

 But no more than I. No more than Tallulah Bankhead had in Die, Die My Darling or Bette Davis in Burnt Offerings.

  

 Which, by the way, you refused to see. And who could blame you? You said you’d seen enough trash. Swinging an axe.

"
never cant i have want kill me for the record im new,"
I  have  been  fumbling  around  for  a  golden  ring

      polishing  a  golden  ring

 *WH*ispers  :  there  will  be  a  murder  in  the  library

 but

 *there  is  something*,  maybe  a  silk  scarf

       maybe  a  red­-gel'd  footlight

 maybe  a  golden  house

       Its  thatch  golden

      Its  wings  nesting

       Its  breath  baby  and  gentlefolk

        Its  inhabitant  skeletal

 but  there  is  something            I  don't  know

    light  is  wild  and  cellular

   life  is  spiral  and  godlike

   I  never  had  a  sister

 * What  is  it? *

      not the  murder  everyone  is

 not    the  way  my  toes  sink  into  the  earth  like  they  were  rehearsing

 for  something                      that  there  is  something

 *  have  you  made  me  a  nameday  card? *

      Am  I  breathing  lace?   ice?

 Porcelain  image  of  a  dear  old  bear

  but  there  is  something  /  but  there  is  something

   maybe just *gone *

 *and  a  little  slant *

    porcelain  sister

     make  a  terrible  breathing  through  your  scarf

     it  is  to  make  a  golden  ring  bright  again

     someday  I  will  wander  up  and  down  the  bare  hill  wailing

   someday  the  difference  in  our  borrows  will  revolt

        cold  clouds  that  sweep  through  here

        don't  know  how  much  we  want  to  make  our  lives  right

"
mothlight,"
Until the moth takes  
wing light on dark  
on your dark eye  
 I cannot express.

Hold up a flashlight  
to things themselves;  
separate the body  
into day and night.

Across your screen  
the moth wings  
are many and pressings  
wrinkled hands cupping

and dropping the dark.  
Overhead a light  
aurora performs its  
handless weavings.

 These are our angels:  
the luminous who sing  
in light of things  
 as they truly are.

That your dark eye  
wing light on dark  
might tear a part  
for the daytime

 I reach overhead.  
 I caress the mothlight  
and with its dust  
I mark my breath.

"
the holiday,"
She dreams of morning. Because the rusty lightcoats itself with inquisitive  steam rising acrossthe body of water, small stone-fruits createfleshy knocks against the slick pane inside your mind,almost visible. Who is there to ask. Who would mind to inhabit that time, or to be that age once again. This morning,  I watched a closely-trimmed dog,reluctantly panting, swallow the mist:he offered his own contribution of moistureto air. He chose not  to feed, and instead gougedtufts of Bermuda grass pushing the wet earth aside and reserving space for the owl’s shadow."
clearwater,"
it is fifty-fifty that she

 ever gets it back. in

 the gold room, the plaques

 were all late for us, leafy

 once, now fifty-plus

 years overdue. had we

 vaulted ourselves from the room, it

 might have thinned, anxious

 at the prospect of turn, of

 crawl, of smoothing

 that inability to burn. she

 pulls her tendons tight for

 the grass in these ways,

 knowing only glare and, twice,

 reflection. legs are

 sectioned, heaving under wrap. shoulders

 flake away in passing and

    are gutted in the lap.

"
against diffusive spread,"

When left alone I do what I often do. Which is lift out  
some worms from my box of worms  
and split their hair-scale bodies in half with a needle.  
Everything in the body can be made perfectly clear  
by soaking it in sugar. This means the light stops changing.  
When I break the right kind of worm its eggs explode  
out of it and keep growing. At those times,  
as required, I sit around in the dark and watch.  

In general I try to have no expectations that you’ll love me  
from one moment to the next. And every night  
my body breaks the spirit of the law. I think  
it is vitally important to say nothing. I hope to never  
accidentally ask not to be alone. You are the most  
sophisticated type of person, whose cells don’t die,  
whose inputs and outputs are smoothly coordinated  
and all sound exactly right.  

An egg or other cell, when watched,  
listens all around it for its friends, and if it does  
or does not hear them, then it pinches  
itself in half or just shy of half, and splits.  
I look with a laser in each egg for the glowing dot  
that marks a future head, which is also how,  
I think, we learn which of our sides is inside. In this way  
everything in the body can be made perfectly clear.  
"
the silver hyphens,"
To my amazement, someone is dancing.  
Eternal Biedermeier, the sound of windshield wipers  
Lulling the car, making of the rain  
A beloved shape-shift deeply, my sister’s  
Charm bracelet on the wheel rhyming “Ramapo”

   
With “Brahms’ Alto”, the sound is stronger than hills  
Yielding to facts. This is my poem,  
A paean to dementia. This embraces  
Dementia. The rain conceals a little,  
Then is wiped away. The next exit

   
Toys with the undercarriage gently.  
Rain makes a gorgeous pattern on the glass.  
Let us begin: we are driving in the rain.  
Rampant, redoubled, sister and I see  
The rain so beautiful and then an empty

   
Windshield equally deathless, dazzling  
Winter bees with a mountain on each wing.  
By noon, nothing remains but romantic litter.  
Biedermeier at all the outposts beats,  
Whirrs, thuds. One charm upon her bracelet

   
Rings my eye with emerald around.  
The first word of the risen Christ was “Woman”.  
Did Magdalene require a further word?  
Is there a forgotten country, *un pays vague,*  
Behind the vexed and uxorious country

   
Forgotten just now? Litter of rain,  
Little winter birds suggest as much. The aftermath  
Of Bellerophon was olive groves. But see:  
The shadows of olive trees turn instantly  
To water. Waves of light, in a concourse

   
Of silver hyphens, drench new patterns of herbs  
Near to home. Home is a southern studio.  
Mother dotes upon the downing moon.  
My sister drives a Biedermeier toy.  
To my amazement, someone is dancing.

"
myself am green in this,"
Myself am green in this:

 the moon let some light

 intensely on the grass.

 The knots on the trunk would make a face on it,

 if one were further in.

 When clouds, the moon’s amok,

 becomes less relevant,

 and cannot hold much.

 What I think of is how,

 when the light is switched off,

 the last thing seen (a lamp)

 flashes on your eyelids.

 What I want is a chair to sit,

 of which I am very certain.

"
the meetings with the man on the toilet will end thursday,"
It is the right of the student to leave his shoes 

 outside the bathroom for the man himself squats barefoot.  

 In the mornings the man finishes another book, orders his milk,

 and when the milkman comes to fetch his tip,

  

 it is the right of the student

 who has forgotten the money again to ask for forgiveness. 

 It is forgiveness that trembles in the open

 window and the open window that 

  

 cries out to the world outside the bathroom

 of the twenty-fourth floor

 where the mirror is turned 

 upside down on the floor

  

 to support Picasso’s “Prophet holding a baby owl.”

 In the bathroom,

 it is Picasso who proffers the soap bar. In the bathroom, 

 the student and the man talk little, drink milk,

  

 listen to the marionettes for it is winter, 

 and finally come to the conclusion that there will never be

 anything of substance to argue about, and so

 the meetings with the man on the toilet will end. It is Thursday. 

  

 It is the right of the student to leave the bathroom at this point. 

 At this point the man will stand up 

 from his seat, flush, wash, sigh.

 The milkman will himself choose to take a rain check,

  

 The student will, as is his right, mention to his mother

 the name of the man with whom he has spent

 his mornings, and his mother will lament to the church. 

 The mirror will be newly hung 

  

 on the wall opposite the window,

 and as the snow nestles into the cracks of the 

 lonely apartment, a voice will 

 be heard on the telephone, sullen but crisp,

 answering the questions it has posed to itself. 

"
